EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome
EMP0000,42,Sales,3,9,9866,4,1,No,24.5
EMP0001,36,Sales,3,7,8958,3,3,No,10
EMP0002,44,Sales,4,16,11716,4,3,No,4
EMP0003,53,Finance,4,30,17061,5,3,No,7.1
EMP0004,35,HR,2,4,5738,2,3,No,8.4
EMP0005,35,Sales,1,1,3839,2,3,No,3.1
EMP0006,53,IT,4,31,17377,3,3,No,8.9
EMP0007,45,Finance,2,5,8463,4,3,No,17.6
EMP0008,33,HR,2,8,6956,5,3,No,3.6
EMP0009,43,Engineering,2,4,9383,1,3,Yes,8.6
EMP0010,33,Finance,2,3,8594,4,3,No,4.5
EMP0011,33,Engineering,1,1,5517,2,2,No,8.2
EMP0012,40,Finance,3,11,10530,4,1,No,8.6
EMP0013,22,Finance,1,0,5729,3,2,Yes,4
EMP0014,22,Sales,1,0,4524,1,3,No,6.1
EMP0015,32,IT,2,2,8191,2,3,No,12.5
EMP0016,27,HR,2,5,6277,3,3,Yes,11.5
EMP0017,41,Engineering,4,13,14731,5,4,Yes,3.3
EMP0018,28,IT,2,4,9583,2,3,Yes,8.1
EMP0019,23,Engineering,1,0,4994,3,2,Yes,6.5
EMP0020,52,Finance,4,25,16061,5,2,No,5.4
EMP0021,35,Finance,3,13,11207,3,1,No,5.5
EMP0022,38,Sales,2,2,6269,3,2,No,11.3
EMP0023,23,IT,1,1,5730,4,2,No,3.9
EMP0024,32,HR,3,6,7609,3,2,No,19.2
EMP0025,39,Engineering,4,14,15186,5,4,No,6.1
EMP0026,26,IT,2,4,7405,1,3,No,14.5
EMP0027,41,HR,3,5,7183,5,3,Yes,14.7
EMP0028,31,Finance,1,0,4572,2,3,No,2.3
EMP0029,35,Operations,2,3,5719,3,3,No,12.7
EMP0030,31,Sales,2,5,6652,4,1,No,14.9
EMP0031,56,Sales,3,31,12746,3,4,Yes,6
EMP0032,37,Sales,3,10,9278,3,2,No,5.1
EMP0033,27,Operations,2,5,6195,5,4,No,33.5
EMP0034,46,Sales,4,13,11588,3,3,No,15.9
EMP0035,25,Engineering,2,2,8350,3,2,No,3.5
EMP0036,40,Engineering,4,11,14664,4,2,No,7.3
EMP0037,22,Engineering,1,0,5832,2,3,Yes,3.7
EMP0038,24,Finance,2,2,7610,3,2,No,8
EMP0039,39,IT,3,9,11002,3,3,Yes,10.6
EMP0040,45,Engineering,2,5,9125,3,2,No,6.3
EMP0041,39,Engineering,3,8,12417,1,3,No,16.2
EMP0042,36,Operations,1,1,3819,5,3,No,8
EMP0043,34,Engineering,2,3,8795,4,2,Yes,8.1
EMP0044,23,IT,1,0,5578,5,2,No,34.4
EMP0045,30,HR,2,3,6340,4,4,No,5.5
EMP0046,33,Engineering,3,7,11416,2,3,No,19.3
EMP0047,48,IT,3,25,14082,3,3,No,26.1
EMP0048,41,Engineering,4,18,15838,1,3,No,5.8
EMP0049,22,Sales,1,0,4627,4,4,Yes,3.5
EMP0050,41,Sales,4,18,12049,4,3,No,6.3
EMP0051,34,IT,2,8,9472,3,2,No,12.7
EMP0052,31,Operations,3,9,8643,5,3,No,17.9
EMP0053,44,Engineering,3,7,12107,4,3,No,8.2
EMP0054,48,Operations,1,0,4001,4,1,Yes,19.9
EMP0055,47,Marketing,3,9,10976,3,3,Yes,2.6
